Hour,Start (minute),Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8,Mouse 9,Mouse 10,Mouse 11,Mouse 12,Light,Observations
0,0,,,,,,,"e,d",,,,,,,
0,1,,,,,,,,d,,,,,,
0,2,,,d,,,,,,,,,,,
0,3,,,,,,,,,,,,,,
0,4,,,,,,,,,,,,,,
0,5,,,,"d,e",,,,,,d,,,,
0,6,,,,e,,,,,,,,,,
0,7,,,,"e,d",,,,,,,,,,
0,8,,,,,,,,,,,,,,
0,9,,,,,,,"e,d",e,,,,,,
0,10,,,,,,,"e,d",,,,,,,
0,11,,,,d,,,e,d,,,,,,
0,12,,,,,,,,,,,,,,
0,13,,,,,,,,,,e,,,,
0,14,d,,,e,,,d,,,,,,,
0,15,e,,,e,,,,,,d,,,,
0,16,,,,,,,,,,e,,,,
0,17,,,,,,,,,,,,,,
0,18,,,,,,,,,e,e,,,,
0,19,,,,,e,,,d,,,,,,
0,20,,,,,,,,d,,,,,,
0,21,,,,,"e,d",,,,,,,,,
0,22,,,,,e,,d,,e,,,,,
0,23,,e,,,,,,,,,,,,
0,24,d,,,,,,,,,,,,,
0,25,,,,,,,,,d,,,,,
0,26,,,,,,,,,,,,,,
0,27,d,,,,,,,,,,,,,unidentifiable mouse drank
0,28,,,,,,,,,,,,,,
0,29,,,,,"d,e",,,,,,,,,
0,30,,,,,d,,,,,,,,,
0,31,,e,,,,,d,,,,,,,
0,32,,,,,e,,,,,,,,,
0,33,,,,,,,,,,,,,,
0,34,,,,,,,,,,,,,,
0,35,,d,,,,d,,,,,,,,
0,36,,,,,,,,,,,,,,
0,37,,,,,,,,,,,,,,
0,38,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,,
0,41,,,,,,,,,,,,,,
0,42,,,,,,,,,,,,,,
0,43,,,,,,,,,,,,,,
0,44,,,,,,,,,,,d,,,
0,45,,,,,,,,,,,,,,
0,46,,,,,,,,d,,,,,,
0,47,,,,,,,,d,,,,,,
0,48,,,,,,,,,,,,,,
0,49,,,,,,,,,,,,,,
0,50,,,,,,,,,,,,,,
0,51,,,,,,,,,,,,,,
0,52,,,,,,,,,,,,,,
0,53,,,,,d,,,,,,,,,
0,54,,,,,d,,,,,,,,,
0,55,,,,,,,,,,,,,,
0,56,,"e,d",,,,,,,,,,,,
0,57,,e,,,,,,,,,,,,
0,58,,e,,,,,,,,,,,,
0,59,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,
1,15,,,,,d,,,,,,,,,
1,16,,,,,d,,,,,,,,,
1,17,,,,,d,,,,,,,,,
1,18,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,
1,20,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,
1,23,,,,,,,,,,,,,,
1,24,,,,,,,,,,,,,,
1,25,,,,,,,,,,,,,,
1,26,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,
1,28,,,e,,,,,,,,,,,
1,29,,,"e,d",,,,,,,,,,,
1,30,,,"e,d",,,,,,,,,,,
1,31,,,,,,,,,,,,,,
1,32,,,,,,,,,,,,,,
1,33,,,e,,,,,,,,,,,
1,34,,,e,,,,,,,,,,,
1,35,,,d,,,,,,,,,,,
1,36,,,,,,,,,,,,,,
1,37,,,,,,,,,,,,,,
1,38,,,,,,,,,,,,,,
1,39,,,"d,e",,,,,,,,,,,
1,40,,,e,,,,,,,,,,,
1,41,,,"d,e",,,,,,,,,,,
1,42,,,,,,,,,,,,,,
1,43,,,d,,,,,,,,,,,
1,44,,,,,,,,,,,,,,
1,45,,,,,,,,,,,,,,
1,46,,,,,,,,,,,,,,
1,47,,,d,,,,,,,,,,,
1,48,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,
1,50,,,,,,,,,,,,,,
1,51,,,,,,,,,,,,,,
1,52,,,,,,,,,,,,,,
1,53,,,,,,,,,,,,,,unidentifiable mouse ate
1,54,,,,,,,,,,,,,,
1,55,,,,,,,,,,,,,,
1,56,,,,,,,,,,,,,,
1,57,,,,,,,,,,,,,,
1,58,,,,,,,,,,,,,,
1,59,,,,,d,,,,,,,,,
2,0,,,,,d,,,,,,,,,
2,1,,,,,,,,,,,,,,
2,2,,,,,,e,,,,,,,,
2,3,,,,,,e,,,e,,,,,
2,4,,d,,,,,e,,e,,,,,
2,5,,,,,,,e,e,,,,,,
2,6,,d,,,,,,e,,,,,,
2,7,,,,,,e,,,,,,,,
2,8,,,,,,e,,,,d,,,,
2,9,,,,d,,,e,,,,,,,
2,10,,,,,,e,"e,d",,e,,,,,
2,11,,d,,,,,,,e,,,,,unidentifiable mouse drank
2,12,,,,,,d,,,,,,,,
2,13,,e,,,,,,,,,,,,
2,14,,e,,,e,,,,,,,,,
2,15,,e,,,e,e,,,,,,,,
2,16,,,,,d,e,,,,,,,,
2,17,,,,,,e,,,"d,e","d,e",,,,
2,18,,,,,,,,,e,,,,,
2,19,,,,,d,,,,e,,,,,unidentifiable mouse drank
2,20,,,,,,,,,,,,,,
2,21,,,,,,,,d,,e,,,,
2,22,,,,,,,,,"d,e",d,,,,
2,23,,,,,e,e,,,e,,,,,
2,24,,,,,e,e,,,,,,,,
2,25,,,,,,,,,,,,,,
2,26,,,,,,,d,,,,,,,
2,27,,,,,,e,,,,,,,,unidentifiable mouse drank and ate
2,28,,,,,d,,,,,,,,,
2,29,,,,,,,,,,,,,,
2,30,,,,,,,,,,,,,,
2,31,,,,,,,,,,,,,,
2,32,,,,,,,,,,,,,,
2,33,d,d,,,,,,,,,,,,
2,34,,,,,,,,,,,,,,
2,35,,,,,,,,,,,,,,
2,36,,,,d,,,,,,,,,,
2,37,,,,,e,,,,,,,,,
2,38,,,,,e,e,,,,,,,,
2,39,,,,,,e,,,,,,,,
2,40,,,,,,,,,,,,,,
2,41,,,,e,,,,,,,,,,
2,42,,,,e,,,,,,,,,,
2,43,,,,,,,,,d,e,,,,
2,44,,,,,,,,,,e,,,,
2,45,,,,,"d,e",,,,,,,,,
2,46,,,,d,e,,,,e,d,,,,
2,47,,,,,,,,,e,,,,,
2,48,,e,,,,,,,,d,,,,
2,49,,,,,,,,,,e,,,,
2,50,,e,,,,,,,,e,,,,
2,51,,,,,,,,,,,,d,,
2,52,,,,,,,,,,,,,,
2,53,,,,,,,,,,,,,,
2,54,,,,,,,,,,"d,e",,,,
2,55,,,,,,,,,,e,,,,
2,56,,,,,,,,,,,,,,
2,57,,,,,,,,,,e,,,,
2,58,,,,,,,,,,e,,,,
2,59,,,,,,,,d,,,,,,
3,0,,,,,,,,,e,,,,,
3,1,,,,,,,,,e,,,,,
3,2,,,,,,,,,e,,,,,
3,3,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,
3,5,,,,,,,,,,,,d,,
3,6,,,,,,,d,,,,,,,
3,7,,,,,,,"e,d",,,,,,,
3,8,,,,,,,e,,,,,,,
3,9,,,,,,,e,,,,,,,
3,10,,,,,,,e,,,,,,,
3,11,,,,,,,e,,,,,,,
3,12,,,,,,,,,,,,,,
3,13,,,,,,,,,,,,,,
3,14,,,,,,,,,,,,,,
3,15,,,,,,,,,,,,,,
3,16,,,,,,,,,,,,,,
3,17,,,,,,,,,,,,,,
3,18,,,,,,,d,,,,,,,
3,19,,e,,,,,d,,,,,,,
3,20,,e,,,,,,,,,,,,
3,21,,e,,,,,,,,,,,,
3,22,,"e,d",,,,,e,,,,,,,
3,23,,,,,,,e,,,,,,,
3,24,,,,,e,,,,,,,,,
3,25,,,,,e,,,,,,,,,
3,26,,,,,e,,,,,,,,,
3,27,,,,,e,,,,,,,,,
3,28,,,,,,,,,,,,,,
3,29,,,,,,,,,,,,,,
3,30,,,,,,,,,,,,,,
3,31,,,,,,,,,,,,,,
3,32,,,,,d,,,,,,,,,
3,33,,,,,"d,e",,,,,,,,,
3,34,,,,,e,,,,,,,,,unidentifiable mouse drank
3,35,,,,,e,,,,,,,,,
3,36,,,,,,,,,,,,,,
3,37,,,,,,,,,,,,,,unidentifiable mouse ate
3,38,,,,,,,,e,,,,,,
3,39,,,,,,,,e,,,,,,
3,40,,,,,,,,,,,,,,
3,41,,,,,,,,,,,,,,
3,42,,,,,,,,,,,,,,
3,43,,,,,,,,,,,,,,
3,44,,,,,,,,,,,,,,
3,45,,,,,,,,,,,,,,
3,46,,,e,,,,,d,,,,,,
3,47,,,,,,,,,,,,,,
3,48,"d,e",,,,,,,,,,,,,
3,49,e,,,,,,,,,,,,,
3,50,e,,,,,,,,,,,,,
3,51,,,,,,,,,,,,,,unidentifiable mouse drank
3,52,,,"e,d",,,,,,,,,e,,
3,53,,,"d,e",,,,,,,,,e,,
3,54,,,"e,d",,,,,,,,,e,,
3,55,,,,,,,,,,,,,,
3,56,,,,,,,,,,,,,,
3,57,,,,,,,,,,,,,,
3,58,,,e,,,,,,,,,,,
3,59,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,
4,1,,,e,,,,,,,,,,,
4,2,,,,,,,,,,,,,,
4,3,,,,,,,,,,,,e,,
4,4,e,,,,,,,,,,,,,
4,5,"e,d",,,,,,,,,d,,,,
4,6,,,,,,,,,,,,,,
4,7,,,,,,,,,,e,,,,
4,8,,,,,,,,,,,,,,
4,9,,,,,,,,e,,,,,,
4,10,,,,,,,,,,,,,,
4,11,,e,,,,,,e,,e,,,,unidentifiable mouse drank
4,12,,,,,,,,,,"e,d",,,,
4,13,,,,,,,,,,e,,,,
4,14,,,,d,,,,,,,,,,
4,15,,,,d,,,,,,,,,,
4,16,,,,,,,,,,,,,,
4,17,,,,,,,,,,,,,,
4,18,,,,,,,,d,,e,,,,
4,19,,e,,,,,,e,,e,,,,
4,20,,e,,,,,,e,,,,,,
4,21,,e,,,,,,,,,,,,
4,22,,e,,,,,,,,e,,,,
4,23,,,,,,,,d,,d,,,,
4,24,,,,,,,,,,e,,,,
4,25,,d,,,,,,,,e,,,,
4,26,,,,,,,,,,,,,,
4,27,,,,,,,,,,,,,,
4,28,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,
4,30,,,,d,,,,,,d,,,,
4,31,,,,,,,,,,,,,,
4,32,,,,,,,,,,"d,e",,,,
4,33,,,,,,,,,,,,,,
4,34,,,,,,,,,,e,,,,
4,35,,,,,,,,,,e,,,,
4,36,,,,,,,,,,e,,,,
4,37,,,,,,d,,,,,,,,
4,38,,,,,,,,,,,,,,
4,39,,,,,,,,,d,,,,,
4,40,,e,,,,,,,,,,,,
4,41,,e ,,,,,,,d,,,,,
4,42,,e,,,,,,,e,,,,,
4,43,,"e,d",,,,,,,e,,,,,
4,44,,,"e,d",,,,,,d,,,,,
4,45,,,,,,d,,,,,,,,
4,46,,,,,,e,,,,d,,,,
4,47,d,,,,,,,,,,,,,
4,48,,,d,,,"d,e",,,,,,,,
4,49,,,,,,e,,,,,,,,
4,50,,,e,,,"e,d",d,,,,,,,
4,51,,,"e,d",,,,,,,,,,,
4,52,,,e,,,,d,,,,,,,
4,53,,,,,,,,,,,,,,
4,54,,,,,,,,,,,,,,
4,55,,,d,,,,,,,d,,,,
4,56,,,,,,,,,,,,,,
4,57,,,,,,,,,,,,,,
4,58,,,,,,e,,,,,,,,weird skip in video
4,59,,,,,,,,,,,,,,
5,0,,,,,,"e,d",,,,,,,,
5,1,,,,,e,,,,,,,,,
5,2,,,,,e,,,,,,,,,
5,3,,,,,,,,,,,d,,,
5,4,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,
5,6,,,,,,,,,,,,,,
5,7,,,,,,,,,,,,,,
5,8,,,,,,,,,,,e,,,
5,9,,,,,,,,,,,,,,
5,10,d,,,,,,,,,,,,,
5,11,"d,e",,,,,,,,,,,,,
5,12,,,,,,,,,,,,,,
5,13,,,,,,,,,,,,,,
5,14,,,,,,,,,,,,,,
5,15,,,,,,,,,,,,,,
5,16,,,,,,,,,,,,,,
5,17,,e,,,,,,,,,,,,
5,18,,,,,d,,,,,,,,,"one mouse ate, another drank"
5,19,,,,,e,,,,,,,,,
5,20,,,,,,,,,,,,,,
5,21,,,,,,,,,,,,,,
5,22,,,,,,,,,,,,,,
5,23,,,,,,,,,,,,,,
5,24,,"d,e",,,,,,,,,,,,
5,25,,,e,,,,,,,,,,,unidentifiable mouse drank
5,26,,,"e,d",,,,,,,,,,,
5,27,,,,,,,,,,,,,,
5,28,,,,,,,,,,,,,,
5,29,,,d,,,,,,,,,,,
5,30,,,,d,,,,,,,,,,
5,31,,,,,,,"e,d",,,,,,,
5,32,,,,,,,,,,,,,,
5,33,,,,,,,,,,,,,,
5,34,,,,,,,,,,,,,,
5,35,,,d,,,,e,,,,,,,
5,36,,,,e,,,,,,,,,,
5,37,,,,e,,,,,,,,,,
5,38,,,,e,,,d,,,,,,,
5,39,,,,e,,,d,,,,,,,
5,40,,,,,,,,,,,,,,
5,41,,,,,,,,,,,,,,
5,42,,,,,,,,,,,,,,
5,43,,,,,,,d,,,,,,,
5,44,,,,,d,,,,,,,,,
5,45,,,,d,,,,,,,,,,
5,46,,,,,,,,,,,,,,
5,47,,,,,,,,,,,,,,
5,48,,,,,,,,,,,,,,
5,49,,,,d,,,,,,,,,,
5,50,,,,,,,,,,,e,,,
5,51,,,,,,,,,,,,,,
5,52,,,,,,,,,,,,,,
5,53,,,,,,,,,,,d,,,
5,54,,,,e,,,,,,,,,,
5,55,,,,,,,,,,,d,,,
5,56,,,,,,,,,,,,,,
5,57,,,,,,,,,,,,,,
5,58,,,,d,,,,,,,,,,
5,59,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,,
6,2,,,,,,,,,,,,,,
6,3,,,,,,,,,,,,,,
6,4,,,,,,,,,,,,,,
6,5,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,9,,,,,,,,,,,,,,
6,10,,,,,,,,,,,,,,
6,11,,,,,,,,,,,,,,
6,12,,,,,,,,,,,,,,
6,13,,,,,,,,,,,,,,
6,14,,,,,,,,,,,,,,
6,15,,,,,,,,,,,,,,
6,16,,,,,,,,,,,,,,
6,17,,,,,,,,,,,,,,
6,18,,,,,,,,,,,,,,
6,19,,,,,,,,,,,,e,,
6,20,,,,,,,,,,,,,,
6,21,,,,,,,,,,,,,,
6,22,,,,,,,,,,,,,,
6,23,,,,,,,,,,,,,,
6,24,,e,,,,,,,,,,,,
6,25,,e,e,,,,,,,,,,,
6,26,,e,"e,d",,,,,,,,,,,
6,27,,,"e,d",,,,,,,,,,,
6,28,,d,,,,,,,,,,,,
6,29,,,d,,,,,,,,,,,
6,30,,e,,,,,,,,,,,,
6,31,,,,,,,,,,,,,lights on,
6,32,,,,,,,,,,,,,,
6,33,,,,,,,,,,,,,,
6,34,,,,,,,,,,,,,,
6,35,,,,,,,,,,,,,,
6,36,,,,,,,,,,,,,,
6,37,,,,,,,,,,,,,,video cut out/skipped here
6,38,,,,,,,,,,,,,,
6,39,,,,,,,,,,,,,,
6,40,,,,,,,,,,,,e,,
6,41,d,,,,,,,,,,,e,,
6,42,,,,,,,,,,,,,,
6,43,,,,,,,d,,,,,,,
6,44,,,,,,,,,,,,,,
6,45,,,,,,,,,,,,,,
6,46,,,,,,,,,,,,,,
6,47,,,,,,,,,,,,,,
6,48,,,,,,,,,,,,,,
6,49,,,,,,,,,,,,,,
6,50,,,,,,,,,,,,,,
6,51,,,,,,,,,d,,,,,
6,52,,,,,,,,,,,,,,
6,53,,,,,,,,,,,,,,
6,54,,,,,,,,,,,,,,
6,55,,,,,,,,,,,,,,
6,56,,,,,,,,,,,,,,
6,57,,,,,,,d,,,,,,,
6,58,,,,,,,,,,,,,,
6,59,,,,,,,,,,,,,,
7,0,,,,d,,,,,,,,,,
7,1,,,,,,,,,,,,,,
7,2,,,,,,,,,,,,,,
7,3,,,,e,d,,,,,,,,,
7,4,,,,,,,,,,,d,,,
7,5,,,,,,,,,,,,,,
7,6,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,
7,8,,,,,,,,,,,,,,
7,9,,,,,,,,,d,,,,,
7,10,,,,,,,d,,,,,,,
7,11,,,,,,,,,,,,,,
7,12,,,,,,,,,e,,,,,
7,13,,,,,,,,,,,,,,
7,14,,,,,,,,,,,,,,
7,15,,,,,,,,,,,,,,
7,16,,d,,,,,,,,,,,,
7,17,,,,,,,,,,,,,,
7,18,,,,,,,,,,,,,,
7,19,,,,,,,,,,,,,,
7,20,,,,,,,,,,,,,,
7,21,,"e,d",,,,,,,,,,,,
7,22,,e,,,d,,,,,,,,,
7,23,,,,,d,,,,,,,,,
7,24,,,,,,,,,,,,,,
7,25,,,,,,,,,,,,,,
7,26,,,,,,,,,,,,,,
7,27,,,,,,,,,,,,,,
7,28,,,,,,,,,,,,,,
7,29,,,,,,,,,,,,,,
7,30,,,,,,,,,,,,,,
7,31,,,,,,,,,,,,,,
7,32,,,,,,,,,,,,,,
7,33,,,,,,,,,,,,,,
7,34,,,,,,,,,,,,,,
7,35,,,,,,,,,,,,,,
7,36,,,,,,,d,,,,,,,
7,37,,,,,,,,,,,,,,
7,38,,,,,,,,,,,,,,
7,39,,,,,,,,,,,,,,
7,40,,,,,,,,,,,,,,
7,41,,,,,,,,,,,,,,
7,42,,,,,,,,,,,,,,
7,43,,,,,,,,,,,,,,
7,44,,,,,,,,,,,,,,
7,45,,,,,,,,,,,,,,
7,46,,,,,,,,,,,,,,
7,47,,,,,,,,,,,,,,
7,48,,,,,,,,,,,,,,
7,49,,,,,,,,,,,,,,
7,50,,,,,,,,,,,,,,
7,51,,,,,,,,,,,,,,
7,52,,,,,,,,,,,,,,
7,53,,,,,,,,,,,,,,
7,54,,,,,,,,,,,,,,
7,55,,,,,,,,,,,,,,
7,56,,,,,,,,,,,,,,
7,57,,,,,,,,,d,,,,,
7,58,,,,,,,,,,,,,,
7,59,,,,,,,,,,,d ,,,
8,0,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,
8,2,,,,,,,,,,,,,,
8,3,,,,,,,,,,,d,,,
8,4,,,,,,,,,,,,,,
8,5,,,,,,,,,,,,,,
8,6,,,,,,,,,,,d,,,
8,7,,,,,,,,,,,d,,,
8,8,,,,,,,,,,,,,,
8,9,,,,,,,,,,,,,,
8,10,,,,,,,,,,,,,,
8,11,,,,,,,,,,,,,,
8,12,,,,,,,,,,,,,,
8,13,,,,,,,,,,,d,,,
8,14,,,,,,,,,,,,,,
8,15,,,,,,,,,,,d,,,
8,16,,,,,,,,,,,,,,
